label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
3	876 m^2	0.6222	pig	Eriq	-0.1098	0.5605 mph	0.6844	0.1752	217	Games and Playable Media	630	-46
1	609 m^2	0.1657	guinea pig	Michael, Lise	-0.3071	0.6874 mph	0.7577	0.7148	510	Applied Mathematics	199	953
1	776 m^2	N/A	guinea pig	Fabrice, Michael, Sam	0.2366	0.9816 mph	0.6504	0.6381	191	COMPUTER SCIENCE	245	969
2	185 m^2	1.1419	reptile	Andrew	0.9885	-0.0397 mph	0.4673	0.0268	339	Biotechnology	558	1029
3	907 m^2	0.4716	pig	Reilly	0.2426	0.8036 mph	0.701	0.212	108	Bioengineering	364	-128
3	633 m^2	0.4406	pig	Reilly	0.2725	0.3022 mph	0.5611	0.5283	65	Human Computer Interaction	362	126
3	596 m^2	0.6529	pig	Reilly	0.2677	0.6601 mph	0.8362	-0.0512	360	Bioengineering	-158	53
2	288 m^2	0.7811	pig	Andrew	0.2972	-0.0201 mph	0.3734	0.4043	939	Natural Language Processing	489	562
0	345 m^2	0.7769	rabbit	Vani, Tony	NULL	0.6117 mph	-0.0754	1.1104	1052	Computer Game Design	869	83
3	1194 m^2	0.4336	pig	Reilly	0.0989	0.7777 mph	0.5737	0.528	-98	Computer Engineering	109	134
3	632 m^2	0.655	pig	Eriq	0.6174	0.7179 mph	0.8678	0.5848	205	robotics engineering	335	-25
1	647 m^2	0.4229	guinea pig	Sam, Fabrice, Lise	-0.2732	0.4489 mph	0.9516	0.7564	587	Statistics	307	753
2	146 m^2	0.8458	dog	Andrew	0.5939	0.3216 mph	0.5264	0.1268	777	Natural Language Processing	651	1069
0	326 m^2	0.4106	cat	Vani	n/a	0.3087 mph	0.5174	0.312	416	Computer Game Design	1071	639
1	202 m^2	0.3747	FISH	michael, lise, fabrice, chris	-0.0243	0.9535 mph	0.5577	0.5541	484	Technology and Information Management	-227	917
1	741 m^2	0.1042	fish	Sam, Chris	-0.0294	0.9814 mph	1.1478	1.3238	434	Computer Science	-281	241
0	316 m^2	0.2705	cat	Vani	1.0647	0.4036 mph	-0.1092	0.6957	590	Computer Game Design	648	304
0	504 m^2	0.7973	rat	Inan	0.7463	0.1986 mph	0.1413	0.899	205	cOMPUTER gAME dESIGN	1025	-259
2	195 m^2	0.9092	reptile	Andrew	0.9962	0.2935 mph	0.4408	0.0761	868	Electrical Engineering	626	95
1	866 m^2	?	fish	Sam, Lise	0.1369	0.5275 mph	0.7819	0.7413	460	Technology and Information Management	550	534
3	945 m^2	0.5322	pig	Reilly	-0.1769	0.6358 mph	0.6799	0.1823	-73	Computer Engineering	453	-417
1	879 m^2	0.2129	guinea pig	Sam, Chris, Lise, Michael	-0.0741	0.8285 mph	1.0183	0.5919	-247	Technology and Information Management	209	862
0	401 m^2	0.4256	hamster	Vani, Inan	0.8502	0.5182 mph	-0.0613	0.4996	881	Computer Game Design	1307	204
2	24 m^2	0.6168	cat	Andrew	0.3982	0.2061 mph	0.1447	0.2906	696	Biotechnology	251	347
3	742 m^2	n/a	pig	Reilly	0.4249	0.5179 mph	0.8649	0.2166	315	Human Computer Interaction	626	-220
3	1067 m^2	0.6044	pig	Eriq	0.0729	0.7117 mph	0.9352	0.6549	503	Bioengineering	228	437
3	519 m^2	0.3303	pig	Eriq	0.2723	0.8867 mph	0.9516	0.2678	551	Robotics Engineering	181	246
2	194 m^2	0.5024	dog	Andrew	-0.0194	0.3541 mph	0.5665	-0.4574	758	Bioinformatics	185	1019
3	963 m^2	0.8336	PIG	Reilly	-0.0169	0.8224 mph	0.5676	0.0738	-266	Computer Engineering	-146	313
0	358 m^2	0.6366	hamster	Tony, Vani	1.0077	None	-0.1538	0.5512	489	computer game design	1037	510
1	669 m^2	0.0299	fish	Chris, Sam	0.0027	0.827 mph	1.2335	0.4005	671	Technology and Information Management	115	1002
3	703 m^2	0.6289	pig	Eriq	0.0774	0.4931 mph	0.8743	0.0356	527	Human Computer Interaction	-185	211
0	539 m^2	0.666	hamster	Inan, Tony	0.9142	0.8253 mph	0.0919	NULL	599	Computer Game Design	991	575
1	664 m^2	0.4393	fish	Lise, Chris	0.0347	0.8079 mph	0.783	0.8958	541	Human Computer Interaction	-104	963
0	29 m^2	0.5428	rabbit	Tony, Inan	0.7905	0.4075 mph	0.1937	N/A	771	Computer Game Design	987	259
1	902 m^2	0.0063	CHICKEN	Sam, Lise	0.0935	0.6287 mph	0.6067	0.9432	425	Statistics	216	757
3	777 m^2	0.522	pig	Reilly	0.4242	0.2129 mph	0.7522	0.2346	351	Bioengineering	480	-105
0	437 m^2	0.7774	rabbit	Vani, Inan	0.5941	0.4124 mph	0.0206	0.6576	760	Computer Game Design	1086	461
3	1133 m^2	0.4522	pig	Reilly	0.6836	0.6494 mph	0.8886	-0.0331	-374	Games and Playable Media	411	169
3	560 m^2	0.4789	pig	Reilly	0.2882	0.5936 mph	0.6614	0.6141	374	Bioengineering	465	-2
1	845 m^2	-0.0823	chicken	Sam, Michael, Fabrice	-0.2632	0.7614 mph	1.1116	1.1138	384	Applied Mathematics	-417	1025
1	631 m^2	-0.0421	fish	Michael	-0.0544	0.7701 mph	1.0012	0.652	527	Statistics	-101	1244
1	890 m^2	0.0965	guinea pig	Lise	-0.1355	0.7972 mph	0.349	0.9903	548	Statistics	85	1203
1	859 m^2	0.0966	chicken	Chris, Lise, Michael, Fabrice	-0.2377	0.9942 mph	0.6298	0.5708	414	Data Science	-39	627
2	177 m^2	0.6558	dog	Andrew	0.591	0.1469 mph	0.7352	0.0	844	Biotechnology	340	737
3	717 m^2	0.4212	pig	eRIQ	0.0225	0.5603 mph	1.2886	0.1231	186	Computer Engineering	219	125
3	669 m^2	0.5546	PIG	Reilly	0.2872	0.5738 mph	0.478	0.1367	288	Human Computer Interaction	504	-229
3	816 m^2	0.883	hamster	Reilly	0.3528	0.746 mph	1.0285	0.6533	467	Robotics Engineering	231	407
2	-98 m^2	0.9443	reptile	Andrew	0.9257	-0.201 mph	0.5969	0.1155	726	Biotechnology	776	897
0	n/a	0.63	cat	Tony	1.1328	0.4093 mph	0.5169	1.0606	91	cOMPUTER gAME dESIGN	1105	401
0	369 m^2	0.4263	rabbit	Inan, Tony	0.8865	0.4304 mph	0.2425	0.564	263	Computer Game Design	937	149
0	166 m^2	0.392	rabbit	Vani	0.6242	0.0879 mph	0.2375	0.5529	478	Computer Game Design	947	364
0	291 m^2	0.2599	cat	Tony	0.7475	0.4502 mph	0.2189	0.5351	759	Computer Game Design	1168	-42
0	350 m^2	0.3636	rabbit	Tony, Inan	0.7315	0.2112 mph	-0.4121	0.5838	1199	Computer Game Design	1645	270
0	245 m^2	0.4488	rat	Inan, Tony	0.6781	0.4387 mph	0.0957	0.6208	839	Computer Game Design	918	725
3	833 m^2	0.8359	pig	Reilly	-0.0302	0.795 mph	0.5589	0.3049	203	Computer Engineering	535	192
2	318 m^2	0.8399	bird	Andrew	0.3776	0.0861 mph	0.6546	0.0821	1026	Biotechnology	732	544
0	426 m^2	0.1356	rabbit	Vani	1.0825	0.5283 mph	-0.1544	0.41	689	Computer Game Design	1002	350
0	162 m^2	0.4088	rat	Vani, Inan	0.741	0.1621 mph	0.0121	0.9031	585	Computer Game Design	918	878
2	N/A	0.8603	bird	Andrew	0.8171	0.1837 mph	0.5502	0.0322	443	Natural Language Processing	700	333
2	425 m^2	0.988	bird	Andrew	0.7513	-0.0551 mph	0.1228	0.5106	574	BIOINFORMATICS	430	389
1	940 m^2	0.2812	guinea pig	Sam	0.1274	0.7113 mph	0.5334	0.8098	319	Applied Mathematics	-79	n/a
1	760 m^2	-0.0737	rat	Lise, Chris	0.0859	0.6498 mph	0.8275	1.025	455	Applied Mathematics	341	919
1	766 m^2	0.1144	fish	Michael, Sam, Fabrice	0.2213	1.1729 mph	0.5387	1.3544	279	Technology and Information Management	-205	981
1	897 m^2	0.4916	chicken	Chris, Michael	0.1564	0.8137 mph	0.7081	0.3889	305	Statistics	-70	718
3	923 m^2	0.5928	PIG	Eriq	0.162	0.7592 mph	1.0003	-0.1342	25	Computer Engineering	562	62
2	6 m^2	0.5894	BIRD	Andrew	0.7296	0.1495 mph	0.7937	0.1096	981	Bioinformatics	736	408
3	998 m^2	0.8925	pig	Reilly	0.6253	0.9338 mph	0.8644	0.5884	-110	Bioengineering	56	38
3	868 m^2	0.4824	pig	Eriq	0.017	1.0129 mph	0.6656	0.3857	438	Games and Playable Media	112	359
1	522 m^2	0.1919	fish	Chris, Fabrice, Michael, Sam	-0.2024	0.8064 mph	0.6532	0.4867	397	Computational Media	264	405
0	555 m^2	0.5455	rat	Tony, Vani	0.8242	0.1996 mph	-0.2299	0.5093	814	Computer Game Design	533	533
2	205 m^2	0.6079	dog	Andrew	0.578	0.1968 mph	0.2965	-0.3402	1011	Electrical Engineering	545	762
2	89 m^2	0.8031	dog	Andrew	0.6913	0.0691 mph	0.4721	-0.203	897	Biotechnology	622	769
3	871 m^2	0.9334	reptile	Eriq	0.1566	0.7314 mph	0.8013	0.2294	203	Robotics Engineering	189	103
2	121 m^2	0.3021	dog	Andrew	0.0708	0.2694 mph	0.7273	-0.1277	835	Bioinformatics	614	431
0	148 m^2	0.6553	dog	Tony, Vani	0.5708	0.1265 mph	-0.0408	0.653	141	Computer Game Design	779	492
3	951 m^2	0.6037	pig	Reilly	0.2203	0.699 mph	0.6916	0.511	104	Computer Engineering	340	245
0	226 m^2	0.7341	cat	Tony	0.4402	0.4115 mph	-0.0183	0.6588	623	Computer Game Design	1487	-126
1	846 m^2	0.092	chicken	Michael, Sam, Fabrice, Lise	0.0447	0.6612 mph	0.6326	0.3167	362	n/a	550	966
2	300 m^2	0.6578	ferret	Andrew	0.7413	0.2634 mph	0.7767	0.2953	1021	Data Science	646	n/a
3	1139 m^2	0.5489	pig	Eriq	0.291	0.6086 mph	0.6373	-0.0634	45	Human Computer Interaction	802	-30
3	1149 m^2	n/a	pig	Reilly	0.2479	0.5982 mph	0.6636	N/A	106	Robotics Engineering	301	204
2	45 m^2	0.8151	reptile	Andrew	0.7405	0.1034 mph	0.4827	-0.333	617	Natural Language Processing	659	694
3	903 m^2	0.6375	pig	Andrew	0.1375	0.4407 mph	0.6308	0.1049	442	Games and Playable Media	80	209
0	452 m^2	0.4055	cat	Vani, Tony	0.8309	0.3369 mph	0.137	0.9962	455	Computer Game Design	1078	336
1	1008 m^2	-0.124	GUINEA PIG	Michael, Lise	-0.4139	0.6489 mph	0.8995	0.6697	389	NULL	144	1051
0	247 m^2	0.5993	cat	Inan, Vani	0.8626	0.0768 mph	-0.315	0.7514	1145	Computer Game Design	1008	361
1	811 m^2	0.3154	chicken	Chris, Fabrice, Michael	0.1796	0.9513 mph	0.8221	0.6621	515	Applied Mathematics	-104	1082
2	174 m^2	1.0715	bird	Andrew	0.9683	0.0869 mph	0.4594	0.288	948	Electrical Engineering	534	911
1	687 m^2	-0.0572	fish	Lise, Chris	0.1828	0.9811 mph	1.2618	0.9783	None	Computational Media	62	818
0	97 m^2	0.6247	rat	Inan, Tony	0.6758	-0.028 mph	0.0839	0.3995	329	Computer Game Design	N/A	809
3	1016 m^2	0.8192	pig	Reilly	0.3519	0.3477 mph	0.8717	-0.1148	-185	Games and Playable Media	455	?
2	346 m^2	0.6399	REPTILE	Chris, Lise, Fabrice	0.6176	-0.1769 mph	0.2827	0.1755	761	Applied Mathematics	246	1272
1	725 m^2	-0.1783	rat	Sam, Michael, Lise	0.2205	0.6997 mph	0.7033	0.6163	198	Technology and Information Management	191	828
1	772 m^2	0.3715	fish	Fabrice, Chris, Lise	-0.1471	0.8343 mph	0.5244	1.0014	608	Statistics	-152	866
0	172 m^2	0.4797	rabbit	Vani, Tony	0.7446	0.1366 mph	0.0299	0.829	562	Computer Game Design	968	911
0	379 m^2	0.7468	fish	Tony, Inan	0.6924	0.4197 mph	0.4879	0.6658	842	Computer Game Design	1223	710
2	472 m^2	1.062	reptile	Andrew	0.9356	0.015 mph	0.3333	0.0567	996	Electrical Engineering	728	171
3	NULL	0.4922	PIG	Chris, Lise, Michael, Fabrice	0.2822	0.6901 mph	1.0369	0.4189	602	Games and Playable Media	111	337
3	832 m^2	0.7763	pig	Reilly	0.3669	1.1026 mph	0.559	0.4026	-282	Human Computer Interaction	656	39
0	580 m^2	0.2729	cat	Inan	0.2845	0.496 mph	-0.1744	0.7095	829	Computer Game Design	1322	452
1	751 m^2	0.3506	guinea pig	Fabrice, Chris	-0.099	0.8304 mph	0.5067	0.8339	645	Applied Mathematics	215	1336
1	882 m^2	0.1906	chicken	Lise, Michael, Chris, Fabrice	0.2551	0.9623 mph	0.9259	1.1868	770	Statistics	388	997
2	367 m^2	0.62	reptile	Andrew	1.3214	-0.1575 mph	0.3906	0.0069	136	Bioinformatics	757	400
0	419 m^2	0.3465	N/A	Vani	0.7207	0.3082 mph	-0.025	0.5886	161	Computer Game Design	1238	662
0	579 m^2	0.4835	rat	Inan, Vani	1.2046	0.5426 mph	-0.2292	0.5336	916	Computer Game Design	1168	342
0	258 m^2	0.3391	cat	Vani, Tony	0.9132	0.2301 mph	0.1034		613	Computer Game Design	742	610
0	211 m^2	0.833	rat	Tony	1.0172	0.275 mph	-0.0017	0.5211	481	Computer Game Design	1156	793
0	360 m^2	0.5911	hamster	Tony, Inan	0.9895	0.4753 mph	0.2137	0.9113	309	Computer Game Design	941	122
2	109 m^2	0.8521	ferret	Andrew	0.8548	-0.1041 mph	0.3784	0.3424	790	Biotechnology	627	490
3	536 m^2	0.8145	pig	Reilly	0.1367	0.7962 mph	0.5425	0.4348	-50	Games and Playable Media	507	-158
3	769 m^2	0.4717	pig	Reilly	0.3396	0.6253 mph	0.8633	0.4283	-157	Data Science	230	-235
2	-144 m^2	0.8616	bird	Andrew	0.7211	-0.0153 mph	0.3719	0.1497	609	Bioinformatics	501	383
1	635 m^2	0.3433	chicken	Chris, Fabrice, Michael	0.0045	0.8108 mph	0.5252	0.5808	389	Computer Science	41	886
1	414 m^2	0.1218	fish	Michael	-0.0321	0.9081 mph	1.2298	0.443	824	Statistics	249	892
2	296 m^2	0.9885	dog	Andrew	0.6837	0.2454 mph	0.8643	0.3112	736	Biotechnology	351	980
0	-122 m^2	0.5333	rabbit	Inan	0.8561	0.6086 mph	0.2661	0.8873	349	Computer Game Design	913	363
2	-217 m^2	1.0111	BIRD	Andrew	0.5314	0.3355 mph	0.61	0.2147	930	Natural Language Processing	87	727
2	364 m^2	1.2016	dog	Andrew	0.3851	-0.0932 mph	0.5031	0.2056	604	Electrical Engineering	387	970
2	14 m^2	0.819	ferret	Andrew	0.4925	0.1488 mph	0.6266	0.0299	830	Electrical Engineering	735	885
2	175 m^2	0.8469	bird	Andrew	0.2726	0.191 mph	0.4857	0.0806	1051	Bioinformatics	613	873
0	195 m^2	0.4346	rabbit	Tony, Vani	0.6749	0.4075 mph	-0.189	0.4639	833	Computer Game Design	901	729
1	792 m^2	0.3423	guinea pig	Chris, Michael, Sam	-0.2026	0.7904 mph	0.8074	0.9385	528	Technology and Information Management	-319	1252
3	703 m^2	0.3595	pig	Eriq	0.4991	0.5237 mph	0.8299	0.283	388	Robotics Engineering	400	26
0	210 m^2	0.0494	rat	Vani, Tony	0.97	0.4332 mph	-0.1051	1.1612	473	Computer Game Design	988	695
2	341 m^2	0.7782	dog	Andrew	0.6555	0.2269 mph	0.3724	0.6121	1098	Bioinformatics	884	758
3	731 m^2	0.3045	dog	None	0.5788	0.7222 mph	0.4967	0.2446	-249	Human Computer Interaction	410	232
0	316 m^2	0.7645	hamster	Tony	1.3941	0.5208 mph	-0.0376	1.2098	508	Computer Game Design	1111	524
0	182 m^2	0.5071	cat	Inan	0.9211	0.2305 mph	0.0569	1.0034	568	Computer Game Design	810	254
3	889 m^2	1.0965	pig	Reilly	0.051	0.7304 mph	1.0625	0.2757	146	hUMAN cOMPUTER iNTERACTION	320	219
0	62 m^2	0.5028	rat	Inan, Tony	0.8294	0.3339 mph	-0.4543	0.7556	886	Computer Game Design	585	445
3	805 m^2	0.638	pig	Reilly	0.225	0.8496 mph	0.7232	0.4975	386	Human Computer Interaction	640	290
3	865 m^2	0.6518	pig	Reilly	0.0587	0.8759 mph	0.7538	0.3047	498	Human Computer Interaction	305	196
1	721 m^2	0.1073	hamster	Fabrice, Chris	0.1153	0.6721 mph	0.811	0.2888	295	Data Science	-93	1267
3	799 m^2	0.6655	pig	Eriq	0.1818	0.5984 mph	0.6789	0.117	-135	Bioengineering	937	469
1	712 m^2	0.3483	guinea pig	Lise	0.2492	0.4851 mph	0.6628	0.5633	296	Computer Science	251	1177
1	405 m^2	0.4611	chicken	Lise, Fabrice	-0.1596	0.8692 mph	0.8092	1.2951	765	Data Science	93	638
0	484 m^2	0.4548	rabbit	Inan, Tony	0.7302	0.3492 mph	0.0247	0.7409	603	Computer Game Design	1244	187
3	789 m^2	0.5148	pig	Eriq	0.2947	0.7201 mph	0.6958	0.6412	20	Bioengineering	284	-234
2	-224 m^2	1.0766	reptile	Andrew	0.3561	0.2571 mph	0.7014	0.3356	632	Robotics Engineering	363	722
3	499 m^2	0.6215	pig	Eriq	0.3668	0.6245 mph	0.9156	0.1822	-114	Games and Playable Media	111	183
2	125 m^2	1.1143	bird	Andrew	1.0574	-0.0551 mph	0.5929	0.1935	1015	Electrical Engineering	418	997
1	615 m^2	0.1272	fish	Lise	-0.1882	1.0795 mph	0.2903	0.82	286	Applied Mathematics	61	924
3	739 m^2	0.5532	pig	Reilly	0.4104	0.5207 mph	0.8531	0.1988	197	Computer Engineering	549	244
3	894 m^2	0.5226	pig	Reilly	0.2978	0.6295 mph	0.8258	-0.1541	-39	Bioengineering	667	-359
1	708 m^2	-0.1631	fish	Sam, Chris	0.1339	0.9427 mph	0.7618	0.7534	175	Technology and Information Management	147	835
1	1008 m^2	0.1456	pig	Lise, Michael	0.0062	0.6563 mph	0.7652	1.2088	404	Statistics	194	993
2	371 m^2	0.6903	bird	Andrew	0.4975	0.0319 mph	0.4546	0.2905	882	Bioinformatics	531	321
2	-280 m^2	0.7791	dog	aNDREW	0.5345	-0.1646 mph	0.3042	0.1869	882	NATURAL LANGUAGE PROCESSING	385	413
1	768 m^2	0.1155	guinea pig	Lise, Sam	-0.1253	1.2159 mph	0.6225	0.8036	686	Applied Mathematics	-91	1006
1	783 m^2	0.4589	fish	Chris, Sam, Michael, Lise	0.5575	0.5826 mph	0.478	0.7819	190	Data Science	-29	1091
3	436 m^2	0.4515	pig	Reilly	0.1688	0.3661 mph	1.245	0.52	-102	Human Computer Interaction	586	-29
1	761 m^2	0.2701	dog	Michael, Lise, Chris, Sam	-0.2278	0.9926 mph	0.7633	0.7041	1001	Computational Media	-102	981
3	920 m^2	0.5293	pig	Reilly	0.432	0.4898 mph	0.8741	-0.1262	413	Robotics Engineering	220	138
0	518 m^2	0.3355	rat	Inan	0.8279	0.6011 mph	-0.011	0.5875	359	Computer Game Design	1333	37
0	467 m^2	0.4588	rat	NULL	0.5432	0.4695 mph	-0.0783	1.0597	745	Computer Game Design	1075	333
3	874 m^2	0.8923	pig	Eriq	-0.2201	0.4199 mph	0.9682	0.5806	39	Human Computer Interaction	333	-235
1	678 m^2	0.1275	fish	Lise	-0.2029	0.7735 mph	0.6872	0.6748	380	Computer Science	251	875
3	942 m^2	0.5396	pig	Reilly	-0.1374	0.8983 mph	0.3261	0.4578	395	Computer Engineering	382	393
0	295 m^2	0.6782	cat	Vani	0.6485	0.3454 mph	-0.1152	1.0113	700	computer game design	909	342
3	875 m^2	0.6932	pig	Eriq	0.1693	0.6269 mph	0.6136	0.331	287	Bioengineering	891	-146
1	689 m^2	0.1818	fish	Michael, Chris, Fabrice, Lise	0.0335	0.8648 mph	0.7318	0.8581	481	Applied Mathematics	-61	1366
3	358 m^2	0.6014	reptile	Lise, Chris	0.7814	0.5684 mph	0.6957	0.8806	224	Human Computer Interaction	294	-97
3	863 m^2	0.6135	pig	Eriq	0.2725	0.687 mph	1.0612	0.784	0	Computer Engineering	579	333
0	389 m^2	0.8189	hamster	Tony	0.726	0.1313 mph	-0.0498	0.7608	853	Computer Game Design	1018	438
0	528 m^2	0.4498	cat	Tony	0.7019	0.1454 mph	-0.0503	0.6523	527	Computer Game Design	1116	512
0	377 m^2	0.4644	rabbit	Vani	1.0538	0.4147 mph	-0.3099	0.5289	756	Computer Game Design	796	297
1	742 m^2	0.1676	chicken	Fabrice	0.4838	0.7016 mph	0.9354	0.8231	538	Data Science	109	927
3	928 m^2	0.7527	pig	Eriq	0.2285	0.6313 mph	0.6482	0.3615	169	Computer Engineering	188	-15
2	375 m^2	1.1037	ferret	Andrew	0.9721	-0.0377 mph	0.6034	0.284	767	biotechnology	400	1000
0	350 m^2	0.4342	rabbit	Tony, Inan	0.8927	0.6045 mph	-0.3438	0.8269	865	Computer Game Design	546	229
1	592 m^2	0.0803	fish	Lise, Sam	0.0461	0.6831 mph	0.7881	0.3704	300	Computer Science	192	725
3	715 m^2	0.3191	PIG	Reilly	0.395	0.6194 mph	0.8418	0.1892	564	Bioengineering	196	None
2	199 m^2	0.8109	dog	Andrew	0.7529	0.1714 mph	0.333	0.4129	669	Biotechnology	296	335
1	477 m^2	0.3475	fish	Fabrice, Sam	-0.266	0.7564 mph	0.5983	0.6215	456	Computational Media	NULL	596
2	-11 m^2	1.1384	reptile	Andrew	0.597	N/A	0.111	0.6085	830	ELECTRICAL ENGINEERING	233	677
1	827 m^2	0.1025	guinea pig	Lise, Sam, Fabrice	-0.1296	0.8991 mph	0.8401	0.6474	670	Technology and Information Management	9	946
2	344 m^2	0.7374	bird	Andrew	0.4161	0.2633 mph	0.3646	0.2823	1274	Electrical Engineering	544	152
0	318 m^2	0.4948	cat	Vani, Tony	0.933	0.2409 mph	0.372	0.7985	337	Computer Game Design	789	272
1	831 m^2	0.2923	fish	Lise, Fabrice, Michael, Sam	-0.121	0.5791 mph	0.8691	0.8074	472	Technology and Information Management	-86	1133
0	639 m^2	0.7729	rabbit	Tony, Vani	0.6663	0.1955 mph	-0.0035	0.4647	536	Computer Game Design	1195	239
3	891 m^2	0.5805	Rabbit	reilly	0.039	0.7257 mph	0.5673	0.1945	-33	Human Computer Interaction	51	73
1	788 m^2	0.2922	chicken	Michael, Sam	-0.0458	0.8066 mph	0.9479	1.0958	528	Computer Science	119	653
